id,title,author,isbn,summary
1,To Kill a Mockingbird,Harper Lee,978-0-06-112008-4,"To Kill a Mockingbird is a novel by Harper Lee published in 1960. It was immediately successful, winning the Pulitzer Prize, and has become a classic of modern American literature."
2,1984,George Orwell,978-0-452-28423-4,"1984 is a dystopian novel by English author George Orwell, published in 1949. It is set in a totalitarian regime and follows the life of Winston Smith as he navigates a world of government surveillance and control."
3,The Great Gatsby,F. Scott Fitzgerald,978-0-7432-7356-5,"The Great Gatsby is a novel by American author F. Scott Fitzgerald, first published in 1925. It is set in the fictional town of West Egg on Long Island and follows the life of Jay Gatsby as he pursues the American Dream."
4,Moby-Dick,Herman Melville,978-1-59308-027-4,"Moby-Dick is a novel by American author Herman Melville, first published in 1851. It tells the story of Ishmael, a sailor on the whaling ship Pequod, and his obsessive quest for revenge against the white whale Moby Dick."
5,The Catcher in the Rye,J.D. Salinger,978-0-316-76948-0,"The Catcher in the Rye is a novel by American author J.D. Salinger, first published in 1951. It is narrated by Holden Caulfield, a teenager who has been expelled from prep school and is wandering around New York City."
6,The Hobbit,J.R.R. Tolkien,978-0-618-00221-4,"The Hobbit, or There and Back Again, is a children's fantasy novel by English author J.R.R. Tolkien, first published in 1937. It follows the quest of Bilbo Baggins, a hobbit who is swept into an epic journey to reclaim the lost Dwarf Kingdom of Erebor from the dragon Smaug."
7,The Lord of the Rings,J.R.R. Tolkien,978-0-618-05702-3,"The Lord of the Rings is an epic high fantasy novel by English author J.R.R. Tolkien, first published in 1954-1955. It follows the quest of a hobbit named Frodo Baggins to destroy the One Ring, which was created by the Dark Lord Sauron to control Middle-earth."
8,The Chronicles of Narnia,C.S. Lewis,978-0-06-623850-0,"The Chronicles of Narnia is a series of seven fantasy novels by British author C.S. Lewis, first published between 1950 and 1956. The series is set in the fictional world of Narnia and follows the adventures of various children who are transported to Narnia and become involved in its history and politics."
9,The Grapes of Wrath,John Steinbeck,978-0-14-303943-3,"The Grapes of Wrath is a novel by American author John Steinbeck, first published in 1939. It tells the story of the Joad family, who are forced to leave their home in Oklahoma during the Great Depression and travel to California in search of work."
10,Brave New World,Aldous Huxley,978-0-06-085052-4,"Brave New World is a dystopian novel by English author Aldous Huxley, first published in 1932. It is set in a futuristic world where people are genetically engineered and conditioned to be happy and content, but the protagonist, Bernard Marx, begins to question the society he lives in."
11,The Adventures of Huckleberry Finn,Mark Twain,978-0-486-28555-6,"The Adventures of Huckleberry Finn is a novel by American author Mark Twain, first published in 1884. It is set in the pre-Civil War South and follows the adventures of Huck Finn, a young boy who runs away from home and travels down the Mississippi River with a runaway slave named Jim."
12,The Odyssey,Homer,978-0-14-026886-7,"The Odyssey is an epic poem attributed to the ancient Greek poet Homer, first written down in the 8th century BCE. It tells the story of Odysseus, king of Ithaca, and his ten-year journey home from the Trojan War."
13,The Iliad,Homer,978-0-14-044592-3,"The Iliad is an ancient Greek epic poem attributed to the poet Homer, first written down in the 8th century BCE. It tells the story of the Trojan War, focusing on the hero Achilles and his anger at the Greek commander Agamemnon."
14,The Divine Comedy,Dante Alighieri,978-0-14-243722-3,"The Divine Comedy is an epic poem by Italian poet Dante Alighieri, first published in the early 14th century. It is divided into three parts: Inferno, Purgatorio, and Paradiso, and follows the poet's journey through Hell, Purgatory, and Heaven."
15,The Canterbury Tales,Geoffrey Chaucer,978-0-14-042234-4,"The Canterbury Tales is a collection of stories by English author Geoffrey Chaucer, first published in the late 14th century. It is set in the 14th century and follows a group of pilgrims as they travel from London to Canterbury, each telling a story along the way."
16,The Brothers Karamazov,Fyodor Dostoevsky,978-0-14-044924-2,"The Brothers Karamazov is a novel by Russian author Fyodor Dostoevsky, first published in 1880. It is set in 19th-century Russia and follows the lives of four brothers as they grapple with questions of faith, morality, and the nature of evil."
17,Anna Karenina,Leo Tolstoy,978-0-14-044917-4,"Anna Karenina is a novel by Russian author Leo Tolstoy, first published in 1877. It is set in 19th-century Russia and follows the life of Anna Karenina, a married aristocrat who has an affair with the dashing Count Vronsky."
18,War and Peace,Leo Tolstoy,978-0-14-044793-4,"War and Peace is a novel by Russian author Leo Tolstoy, first published in 1869. It is set during the Napoleonic Wars and follows the lives of several aristocratic families as they navigate the social and political upheaval of the time."
19,The Picture of Dorian Gray,Oscar Wilde,978-0-486-28227-2,"The Picture of Dorian Gray is a novel by Irish author Oscar Wilde, first published in 1890. It tells the story of a young man named Dorian Gray who sells his soul in exchange for eternal youth and beauty, but his portrait ages and reflects his sins."
20,The Count of Monte Cristo,Alexandre Dumas,978-0-14-044926-6,"The Count of Monte Cristo is a novel by French author Alexandre Dumas, first published in 1844. It is set in France and follows the life of Edmond Dantès, a young sailor who is falsely accused of treason and imprisoned in the Château d'If."
21,The Three Musketeers,Alexandre Dumas,978-0-14-044025-6,"The Three Musketeers is a novel by French author Alexandre Dumas, first published in 1844. It is set in 17th-century France and follows the adventures of d'Artagnan, a young man who joins the Musketeers of the Guard and becomes embroiled in political intrigue."
22,The Scarlet Letter,Nathaniel Hawthorne,978-0-14-243726-1,"The Scarlet Letter is a novel by American author Nathaniel Hawthorne, first published in 1850. It is set in 17th-century Puritan New England and follows the life of Hester Prynne, a woman who is publicly shamed for committing adultery and forced to wear a scarlet letter 'A' on her clothing."
23,The Adventures of Sherlock Holmes,Arthur Conan Doyle,978-0-14-043908-3,"The Adventures of Sherlock Holmes is a collection of detective stories by British author Arthur Conan Doyle, first published in 1892. It follows the adventures of the famous detective Sherlock Holmes and his friend Dr. John Watson as they solve various mysteries in Victorian London."
24,The Hound of the Baskervilles,Arthur Conan Doyle,978-0-14-043786-7,"The Hound of the Baskervilles is a detective novel by British author Arthur Conan Doyle, first published in 1902. It is set in the moors of Devonshire and follows Sherlock Holmes and Dr. John Watson as they investigate the mysterious death of Sir Charles Baskerville."
25,The War of the Worlds,H.G. Wells,978-0-14-144103-0,"The War of the Worlds is a science fiction novel by British author H.G. Wells, first published in 1898. It tells the story of a Martian invasion of Earth and follows the experiences of an unnamed protagonist as he tries to survive and escape the destruction."
26,The Time Machine,H.G. Wells,978-0-14-143997-2,"The Time Machine is a science fiction novel by British author H.G. Wells, first published in 1895. It tells the story of a scientist who invents a machine that allows him to travel through time and explores the future of humanity."
27,The Call of the Wild,Jack London,978-0-14-018651-2,"The Call of the Wild is a novel by American author Jack London, first published in 1903. It tells the story of a dog named Buck who is stolen from his home in California and sold into the brutal world of the Yukon Gold Rush."
28,White Fang,Jack London,978-0-14-018651-2,"White Fang is a novel by American author Jack London, first published in 1906. It tells the story of a wild wolf-dog named White Fang and his journey from the wilderness to domestication."
29,The Adventures of Tom Sawyer,Mark Twain,978-0-14-243717-9,"The Adventures of Tom Sawyer is a novel by American author Mark Twain, first published in 1876. It is set in the fictional town of St. Petersburg, Missouri, and follows the adventures of a young boy named Tom Sawyer as he navigates life and gets into mischief."
30,The Prince,Niccolò Machiavelli,978-0-14-044915-0,"The Prince is a political treatise by Italian author Niccolò Machiavelli, first published in 1532. It is considered one of the most influential works of political philosophy and discusses the nature of power, leadership, and the role of the ruler."
31,The Art of War,Sun Tzu,978-0-14-044915-0,"The Art of War is an ancient Chinese military treatise attributed to the military strategist Sun Tzu, first written down in the 5th century BCE. It is considered one of the most important works on strategy and warfare and has been widely studied and applied in various fields."
32,The Republic,Plato,978-0-14-044914-3,"The Republic is a philosophical dialogue by Greek philosopher Plato, first written down in the 4th century BCE. It is one of the most influential works of philosophy and discusses the nature of justice, the ideal state, and the role of the philosopher."
33,The Wealth of Nations,Adam Smith,978-0-14-043208-4,"The Wealth of Nations is a book by Scottish economist Adam Smith, first published in 1776. It is considered one of the most important works in the field of economics and discusses the principles of free markets, division of labor, and the role of government in the economy."
34,The Communist Manifesto,Karl Marx,978-0-14-044757-6,"The Communist Manifesto is a political pamphlet by German philosophers Karl Marx and Friedrich Engels, first published in 1848. It is considered one of the most important works of political theory and discusses the principles of communism and the class struggle."
35,The Federalist Papers,Alexander Hamilton,978-0-14-044495-7,"The Federalist Papers is a collection of essays written by Alexander Hamilton, James Madison, and John Jay, first published in 1787-1788. It is considered one of the most important works of political theory and discusses the principles of the United States Constitution and the structure of the federal government."
36,The Prince and the Pauper,Mark Twain,978-0-14-043669-3,"The Prince and the Pauper is a novel by American author Mark Twain, first published in 1881. It tells the story of two boys, one a prince and the other a pauper, who switch places and experience life in each other's shoes."
37,The Jungle,Upton Sinclair,978-0-14-018651-2,"The Jungle is a novel by American author Upton Sinclair, first published in 1906. It is set in the meatpacking industry in Chicago and follows the experiences of a Lithuanian immigrant named Jurgis Rudkus as he struggles to survive and provide for his family."
38,The Art of War,Sun Tzu,978-0-14-044915-0,"The Art of War is an ancient Chinese military treatise attributed to the military strategist Sun Tzu, first written down in the 5th century BCE. It is considered one of the most important works on strategy and warfare and has been widely studied and applied in various fields."
39,The Republic,Plato,978-0-14-044914-3,"The Republic is a philosophical dialogue by Greek philosopher Plato, first written down in the 4th century BCE. It is one of the most influential works of philosophy and discusses the nature of justice, the ideal state, and the role of the philosopher."
40,The Wealth of Nations,Adam Smith,978-0-14-043208-4,"The Wealth of Nations is a book by Scottish economist Adam Smith, first published in 1776. It is considered one of the most important works in the field of economics and discusses the principles of free markets, division of labor, and the role of government in the economy."
41,The Communist Manifesto,Karl Marx,978-0-14-044757-6,"The Communist Manifesto is a political pamphlet by German philosophers Karl Marx and Friedrich Engels, first published in 1848. It is considered one of the most important works of political theory and discusses the principles of communism and the class struggle."
42,The Federalist Papers,Alexander Hamilton,978-0-14-044495-7,"The Federalist Papers is a collection of essays written by Alexander Hamilton, James Madison, and John Jay, first published in 1787-1788. It is considered one of the most important works of political theory and discusses the principles of the United States Constitution and the structure of the federal government."
43,The Prince and the Pauper,Mark Twain,978-0-14-043669-3,"The Prince and the Pauper is a novel by American author Mark Twain, first published in 1881. It tells the story of two boys, one a prince and the other a pauper, who switch places and experience life in each other's shoes."
44,The Jungle,Upton Sinclair,978-0-14-018651-2,"The Jungle is a novel by American author Upton Sinclair, first published in 1906. It is set in the meatpacking industry in Chicago and follows the experiences of a Lithuanian immigrant named Jurgis Rudkus as he struggles to survive and provide for his family."
45,The Art of War,Sun Tzu,978-0-14-044915-0,"The Art of War is an ancient Chinese military treatise attributed to the military strategist Sun Tzu, first written down in the 5th century BCE. It is considered one of the most important works on strategy and warfare and has been widely studied and applied in various fields."
46,The Republic,Plato,978-0-14-044914-3,"The Republic is a philosophical dialogue by Greek philosopher Plato, first written down in the 4th century BCE. It is one of the most influential works of philosophy and discusses the nature of justice, the ideal state, and the role of the philosopher."
47,The Wealth of Nations,Adam Smith,978-0-14-043208-4,"The Wealth of Nations is a book by Scottish economist Adam Smith, first published in 1776. It is considered one of the most important works in the field of economics and discusses the principles of free markets, division of labor, and the role of government in the economy."
48,The Communist Manifesto,Karl Marx,978-0-14-044757-6,"The Communist Manifesto is a political pamphlet by German philosophers Karl Marx and Friedrich Engels, first published in 1848. It is considered one of the most important works of political theory and discusses the principles of communism and the class struggle."
49,The Federalist Papers,Alexander Hamilton,978-0-14-044495-7,"The Federalist Papers is a collection of essays written by Alexander Hamilton, James Madison, and John Jay, first published in 1787-1788. It is considered one of the most important works of political theory and discusses the principles of the United States Constitution and the structure of the federal government."
50,The Prince and the Pauper,Mark Twain,978-0-14-043669-3,"The Prince and the Pauper is a novel by American author Mark Twain, first published in 1881. It tells the story of two boys, one a prince and the other a pauper, who switch places and experience life in each other's shoes."
51,The Night Circus,Erin Morgenstern,978-0-385-53463-5,"The Night Circus is a fantasy novel by Erin Morgenstern, first published in 2011. It tells the story of a magical competition between two young illusionists, Celia and Marco, who are bound by their mentors to compete against each other in a mysterious circus that only appears at night."
52,The Goldfinch,Donna Tartt,978-0-316-05542-0,"The Goldfinch is a novel by Donna Tartt, first published in 2013. It tells the story of Theo Decker, a young boy who survives a terrorist attack at a museum and becomes obsessed with a painting called The Goldfinch."
53,The Girl on the Train,Paula Hawkins,978-1-59448-832-3,"The Girl on the Train is a psychological thriller by Paula Hawkins, first published in 2015. It follows the lives of three women, Rachel, Megan, and Anna, whose lives become intertwined after a woman goes missing."
54,The Martian,Andy Weir,978-0-8041-3902-1,"The Martian is a science fiction novel by Andy Weir, first published in 2011. It tells the story of Mark Watney, an astronaut who is stranded on Mars and must use his ingenuity and resourcefulness to survive until rescue."
55,The Underground Railroad,Colson Whitehead,978-0-385-54236-4,"The Underground Railroad is a novel by Colson Whitehead, first published in 2016. It tells the story of Cora, a young slave who escapes from a plantation in Georgia and travels on the Underground Railroad, a network of secret routes and safe houses used by slaves to escape to free states."
56,The Sympathizer,Viet Thanh Nguyen,978-0-8021-2345-9,"The Sympathizer is a novel by Viet Thanh Nguyen, first published in 2015. It tells the story of a Vietnamese communist spy who comes to the United States after the fall of Saigon and becomes involved in espionage and political intrigue."
57,The Sellout,Paul Beatty,978-0-374-29855-0,"The Sellout is a novel by Paul Beatty, first published in 2015. It tells the story of a young African American man who tries to reinstate segregation in his Los Angeles neighborhood and ends up in the Supreme Court."
58,The Narrow Road to the Deep North,Richard Flanagan,978-0-385-53708-7,"The Narrow Road to the Deep North is a novel by Richard Flanagan, first published in 2013. It tells the story of Dorrigo Evans, an Australian doctor who is a prisoner of war in a Japanese labor camp during World War II."
59,The Luminaries,Eleanor Catton,978-0-316-22284-5,"The Luminaries is a novel by Eleanor Catton, first published in 2013. It tells the story of a young prospector who travels to New Zealand during the gold rush and becomes involved in a complex web of intrigue and mystery."
60,The Orphan Master's Son,Adam Johnson,978-0-8129-9473-7,"The Orphan Master's Son is a novel by Adam Johnson, first published in 2012. It tells the story of Pak Jun Do, a North Korean orphan who rises through the ranks of the military and becomes involved in espionage and political intrigue."
61,The Sense of an Ending,Julian Barnes,978-0-307-59273-7,"The Sense of an Ending is a novel by Julian Barnes, first published in 2011. It tells the story of Tony Webster, a retired man who reflects on his life and the choices he made as a young man."
62,The Tiger's Wife,Téa Obreht,978-0-385-53461-1,"The Tiger's Wife is a novel by Téa Obreht, first published in 2011. It tells the story of a young doctor who returns to her hometown in the Balkans and becomes involved in a series of mysterious deaths."
63,The Brief Wondrous Life of Oscar Wao,Junot Díaz,978-1-59448-329-8,"The Brief Wondrous Life of Oscar Wao is a novel by Junot Díaz, first published in 2007. It tells the story of Oscar de León, a Dominican American man who is obsessed with science fiction and fantasy and struggles to find love and acceptance."
64,The Road,Cormac McCarthy,978-0-307-38789-9,"The Road is a novel by Cormac McCarthy, first published in 2006. It tells the story of a father and son who travel through a post-apocalyptic America in search of safety and survival."
65,The Amazing Adventures of Kavalier & Clay,Michael Chabon,978-0-312-42786-8,"The Amazing Adventures of Kavalier & Clay is a novel by Michael Chabon, first published in 2000. It tells the story of two Jewish cousins, Joe Kavalier and Sam Clay, who create a comic book superhero during World War II."
66,The Corrections,Jonathan Franzen,978-0-374-15855-7,"The Corrections is a novel by Jonathan Franzen, first published in 2001. It tells the story of the Lambert family, who gather for one last Christmas together as the patriarch, Alfred, struggles with Parkinson's disease."
67,The Known World,Edward P. Jones,978-0-06-055755-3,"The Known World is a novel by Edward P. Jones, first published in 2003. It tells the story of Henry Townsend, a former slave who becomes a successful plantation owner in antebellum Virginia."
68,The Hours,Michael Cunningham,978-0-312-42283-2,"The Hours is a novel by Michael Cunningham, first published in 1998. It tells the story of three women, Virginia Woolf, Laura Brown, and Clarissa Vaughan, whose lives are interconnected by the novel Mrs. Dalloway."
69,The Blind Assassin,Margaret Atwood,978-0-385-72038-6,"The Blind Assassin is a novel by Margaret Atwood, first published in 2000. It tells the story of two sisters, Iris and Laura Chase, and the events that lead to Laura's death."
70,The Road to Wellville,T.C. Boyle,978-0-14-016718-4,"The Road to Wellville is a novel by T.C. Boyle, first published in 1993. It tells the story of Dr. John Harvey Kellogg and his Battle Creek Sanitarium, a health spa in Michigan that promotes a strict vegetarian diet and various unconventional treatments."
71,The Shipping News,Annie Proulx,978-0-684-84486-5,"The Shipping News is a novel by Annie Proulx, first published in 1993. It tells the story of Quoyle, a newspaper reporter who moves to Newfoundland after the death of his wife and begins a new life as a fisherman."
72,The Stone Diaries,Carol Shields,978-0-14-029628-0,"The Stone Diaries is a novel by Carol Shields, first published in 1993. It tells the story of Daisy Goodwill Flett, a woman who reflects on her life and the choices she made as she approaches old age."
73,The Mambo Kings Play Songs of Love,Oscar Hijuelos,978-0-14-015406-1,"The Mambo Kings Play Songs of Love is a novel by Oscar Hijuelos, first published in 1989. It tells the story of the Castillo brothers, Cesar and Nestor, who come to New York City from Cuba in the 1950s and become famous mambo musicians."
74,The English Patient,Michael Ondaatje,978-0-14-025259-0,"The English Patient is a novel by Michael Ondaatje, first published in 1992. It tells the story of a severely burned man who is cared for by a nurse in an Italian villa during World War II and reflects on his past."
